x,y,z
2.73271069e-02,4.63504986e-02,-2.88988854e-02
2.94936176e-02,5.38008399e-02,-2.83125795e-02
3.21910282e-02,6.18550757e-02,-2.77343126e-02
3.54332157e-02,7.06568631e-02,-2.71629776e-02
3.92465828e-02,8.03540599e-02,-2.65972263e-02
4.36694297e-02,9.11020776e-02,-2.60354083e-02
4.87516960e-02,1.03067080e-01,-2.54754923e-02
5.45550288e-02,1.16429121e-01,-2.49149642e-02
6.11531426e-02,1.31385315e-01,-2.43506986e-02
6.86324520e-02,1.48153110e-01,-2.37787946e-02
7.70929635e-02,1.66973743e-01,-2.31943678e-02
8.66494227e-02,1.88115940e-01,-2.25912868e-02
9.74327193e-02,2.11879937e-01,-2.19618394e-02
1.09591559e-01,2.38601888e-01,-2.12963090e-02
1.23294418e-01,2.68658725e-01,-2.05824389e-02
1.38731798e-01,3.02473556e-01,-1.98047524e-02
1.56118810e-01,3.40521679e-01,-1.89436930e-02
1.75698118e-01,3.83337288e-01,-1.79745336e-02
1.97743280e-01,4.31520981e-01,-1.68659958e-02
2.22562520e-01,4.85748163e-01,-1.55785008e-02
2.50503003e-01,5.46778461e-01,-1.40619531e-02
2.81955639e-01,6.15466262e-01,-1.22529345e-02
3.17360500e-01,6.92772527e-01,-1.00711493e-02
3.57212910e-01,7.79778009e-01,-7.41492357e-03
4.02070290e-01,8.77698018e-01,-4.15550585e-03
4.52559839e-01,9.87898922e-01,-1.29851958e-04
5.09387135e-01,1.11191652e+00,4.86850704e-03
5.73345779e-01,1.25147643e+00,1.11010204e-02
6.45328150e-01,1.40851673e+00,1.88987346e-02
7.26337412e-01,1.58521278e+00,2.86807755e-02
8.17500853e-01,1.78400452e+00,4.09777034e-02
9.20084660e-01,2.00762605e+00,5.64610075e-02
1.03551022e+00,2.25913735e+00,7.59803186e-02
1.16537195e+00,2.54195782e+00,1.00610309e-01
1.31145676e+00,2.85990095e+00,1.31709714e-01
1.47576484e+00,3.21720879e+00,1.70995479e-01
1.66053180e+00,3.61858462e+00,2.20635677e-01
1.86825157e+00,4.06922077e+00,2.83365612e-01
2.10169930e+00,4.57481745e+00,3.62632331e-01
2.36395331e+00,5.14158636e+00,4.62773577e-01
2.65841415e+00,5.77623014e+00,5.89237967e-01
2.98881820e+00,6.48588493e+00,7.48853538e-01
3.35924209e+00,7.27800812e+00,9.50151554e-01
3.77409239e+00,8.16018692e+00,1.20375090e+00
4.23807284e+00,9.13983408e+00,1.52280461e+00
4.75611871e+00,1.02237272e+01,1.92350273e+00
5.33328359e+00,1.14173343e+01,2.42561258e+00
5.97455982e+00,1.27238574e+01,3.05301578e+00
6.68460803e+00,1.41429123e+01,3.83416765e+00
7.46736587e+00,1.56687638e+01,4.80235457e+00
8.32550170e+00,1.72880495e+01,5.99555535e+00
9.25967788e+00,1.89769760e+01,7.45562520e+00
1.02675951e+01,2.06980832e+01,9.22642364e+00
1.13428094e+01,2.23968611e+01,1.13504286e+01
1.24733545e+01,2.39988085e+01,1.38633726e+01
1.36402758e+01,2.54079237e+01,1.67865945e+01
1.48162847e+01,2.65080453e+01,2.01172361e+01
1.59648757e+01,2.71687352e+01,2.38172402e+01
1.70403692e+01,2.72571887e+01,2.78032968e+01
1.79893999e+01,2.66565817e+01,3.19411638e+01
1.87542615e+01,2.52891149e+01,3.60484926e+01
1.92781773e+01,2.31391341e+01,3.99094764e+01
1.95119933e+01,2.02693017e+01,4.33016680e+01
1.94211375e+01,1.68226442e+01,4.60305986e+01
1.89912525e+01,1.30066705e+01,4.79633669e+01
1.82309825e+01,9.06195673e+00,4.90509322e+01
1.71710847e+01,5.22373520e+00,4.93320544e+01
1.58600859e+01,1.68763930e+00,4.89184752e+01
1.43576703e+01,-1.41162156e+00,4.79675229e+01
1.27274404e+01,-4.00559589e+00,4.66514838e+01
1.10305420e+01,-6.08408424e+00,4.51319276e+01
9.32107180e+00,-7.67958311e+00,4.35433323e+01
7.64352351e+00,-8.85005873e+00,4.19863258e+01
6.03202464e+00,-9.66410471e+00,4.05282852e+01
4.51086186e+00,-1.01902844e+01,3.92082350e+01
3.09576082e+00,-1.04907376e+01,3.80433925e+01
1.79547827e+00,-1.06182182e+01,3.70356047e+01
6.13403052e-01,-1.06154708e+01,3.61767811e+01
-4.51008686e-01,-1.05159698e+01,3.54530487e+01
-1.40104079e+00,-1.03452985e+01,3.48477018e+01
-2.24178046e+00,-1.01227036e+01,3.43431690e+01
-2.97941602e+00,-9.86256558e+00,3.39222489e+01
-3.62073195e+00,-9.57565979e+00,3.35688366e+01
-4.17276016e+00,-9.27017214e+00,3.32683118e+01
-4.64254941e+00,-8.95247597e+00,3.30077129e+01
-5.03702018e+00,-8.62770008e+00,3.27757786e+01
-5.36287886e+00,-8.30012489e+00,3.25629116e+01
-5.62657095e+00,-7.97344417e+00,3.23610949e+01
-5.83425853e+00,-7.65092583e+00,3.21637820e+01
-5.99181148e+00,-7.33550090e+00,3.19657704e+01
-6.10480551e+00,-7.02980410e+00,3.17630672e+01
-6.17852261e+00,-6.73618494e+00,3.15527502e+01
-6.21795181e+00,-6.45670332e+00,3.13328288e+01
-6.22778897e+00,-6.19312001e+00,3.11021074e+01
-6.21243584e+00,-5.94688887e+00,3.08600547e+01
-6.17599870e+00,-5.71915492e+00,3.06066809e+01
-6.12228730e+00,-5.51076027e+00,3.03424250e+01
-6.05481484e+00,-5.32225825e+00,3.00680545e+01
-5.97679976e+00,-5.15393505e+00,2.97845767e+01
-5.89116963e+00,-5.00583730e+00,2.94931641e+01
-5.80056753e+00,-4.87780390e+00,2.91950920e+01
-5.70736104e+00,-4.76950019e+00,2.88916887e+01
-5.61365359e+00,-4.68045281e+00,2.85842966e+01
-5.52129807e+00,-4.61008360e+00,2.82742438e+01
-5.43191225e+00,-4.55774145e+00,2.79628238e+01
-5.34689565e+00,-4.52273126e+00,2.76512826e+01
-5.26744736e+00,-4.50433931e+00,2.73408119e+01
-5.19458445e+00,-4.50185479e+00,2.70325466e+01
-5.12916040e+00,-4.51458751e+00,2.67275665e+01
-5.07188339e+00,-4.54188167e+00,2.64268997e+01
-5.02333388e+00,-4.58312601e+00,2.61315292e+01
-4.98398136e+00,-4.63776063e+00,2.58423993e+01
-4.95420000e+00,-4.70528076e+00,2.55604239e+01
-4.93428307e+00,-4.78523772e+00,2.52864948e+01
-4.92445587e+00,-4.87723758e+00,2.50214897e+01
-4.92488732e+00,-4.98093761e+00,2.47662807e+01
-4.93569989e+00,-5.09604086e+00,2.45217423e+01
